deadhead_id,service_id,block_id,shape_id,to_trip_id,from_trip_id,to_deadhead_id,from_deadhead_id
55721368,SpgStd,B800-38,,55719898,,,
55721373,SpgStd,B800-38,,,55719982,,
55722864,SpgSnd,B800-38,,55721794,,,
55722867,SpgSnd,B800-38,,,55721818,,
55591357,MmlD,B800-38,,55590287,,,
55591360,MmlD,B800-38,,,55590311,,
55714068,LRV223-hlb23011-Wdy-01,B800-39,,55713707,,,
55714086,LRV223-hlb23011-Wdy-01,B800-39,,,55714059,,
55721131,SpgStd,B800-39,,55719923,,,
55721343,SpgStd,B800-39,,,55721327,,
55722115,SpgSnd,B800-39,,55721928,,,
55722116,SpgSnd,B800-39,,,55722094,,
55590608,MmlD,B800-39,,55590421,,,
55590609,MmlD,B800-39,,,55590587,,
55714699,LRV223-hlb23011-Wdy-01,B800-4,,55713552,,,
55714724,LRV223-hlb23011-Wdy-01,B800-4,,,55713548,,
55721360,SpgStd,B800-4,,55719893,,,
55721375,SpgStd,B800-4,,,55719986,,
55722109,SpgSnd,B800-4,,55721905,,,
55722110,SpgSnd,B800-4,,,55722091,,
55590602,MmlD,B800-4,,55590398,,,
55590603,MmlD,B800-4,,,55590584,,
55714360,LRV223-hlb23011-Wdy-01,B800-40,,55713858,,,
55714377,LRV223-hlb23011-Wdy-01,B800-40,,,55714248,,
55721020,SpgStd,B800-40,,55721031,,,
55721108,SpgStd,B800-40,,,55721096,,
55723022,SpgSnd,B800-40,,55722399,,,
55723131,SpgSnd,B800-40,,,55722608,,
55591515,MmlD,B800-40,,55590892,,,
55591624,MmlD,B800-40,,,55591101,,
55714695,LRV223-hlb23011-Wdy-01,B800-41,,55713519,,,
55714714,LRV223-hlb23011-Wdy-01,B800-41,,,55713928,,
55720341,SpgStd,B800-41,,55720101,,,
55720351,SpgStd,B800-41,,,55720329,,
55722107,SpgSnd,B800-41,,55721892,,,
55722256,SpgSnd,B800-41,,,55722098,,
55590600,MmlD,B800-41,,55590385,,,
55590749,MmlD,B800-41,,,55590591,,
55714072,LRV223-hlb23011-Wdy-01,B800-42,,55713715,,,
55714090,LRV223-hlb23011-Wdy-01,B800-42,,,55713829,,
55721140,SpgStd,B800-42,,55719924,,,
55721344,SpgStd,B800-42,,,55721326,,
55722833,SpgSnd,B800-42,,55721996,,,
55722845,SpgSnd,B800-42,,,55722632,,
55591326,MmlD,B800-42,,55590489,,,
55591338,MmlD,B800-42,,,55591125,,
55714361,LRV223-hlb23011-Wdy-01,B800-43,,55713857,,,
55714378,LRV223-hlb23011-Wdy-01,B800-43,,,55713842,,
55721359,SpgStd,B800-43,,55719895,,,
55721486,SpgStd,B800-43,,,55719885,,
55722866,SpgSnd,B800-43,,55721801,,,
55722869,SpgSnd,B800-43,,,55721809,,
55591359,MmlD,B800-43,,55590294,,,
55591362,MmlD,B800-43,,,55590302,,
55714705,LRV223-hlb23011-Wdy-01,B800-44,,55714675,,,
55714722,LRV223-hlb23011-Wdy-01,B800-44,,,55713686,,
55721041,SpgStd,B800-44,,55721050,,,
55721117,SpgStd,B800-44,,,55721047,,
55723023,SpgSnd,B800-44,,55722405,,,
55723034,SpgSnd,B800-44,,,55722610,,
55591516,MmlD,B800-44,,55590898,,,
55591527,MmlD,B800-44,,,55591103,,
55714070,LRV223-hlb23011-Wdy-01,B800-45,,55713966,,,
55714088,LRV223-hlb23011-Wdy-01,B800-45,,,55713780,,
55720336,SpgStd,B800-45,,55720102,,,
55720345,SpgStd,B800-45,,,55720331,,
55722108,SpgSnd,B800-45,,55721922,,,
55722255,SpgSnd,B800-45,,,55721887,,
55590601,MmlD,B800-45,,55590415,,,
55590748,MmlD,B800-45,,,55590380,,
55714362,LRV223-hlb23011-Wdy-01,B800-46,,55713856,,,
55714351,LRV223-hlb23011-Wdy-01,B800-46,,,55713844,,
55721133,SpgStd,B800-46,,55719925,,,
55721345,SpgStd,B800-46,,,55721294,,
55714696,LRV223-hlb23011-Wdy-01,B800-47,,55713521,,,
55714712,LRV223-hlb23011-Wdy-01,B800-47,,,55713930,,
55721362,SpgStd,B800-47,,55719883,,,
55721371,SpgStd,B800-47,,,55719980,,
55714073,LRV223-hlb23011-Wdy-01,B800-48,,55713716,,,
55714093,LRV223-hlb23011-Wdy-01,B800-48,,,55713814,,
55721057,SpgStd,B800-48,,55721064,,,
55721115,SpgStd,B800-48,,,55721100,,
55714363,LRV223-hlb23011-Wdy-01,B800-49,,55713855,,,
55714354,LRV223-hlb23011-Wdy-01,B800-49,,,55713690,,
55721372,SpgStd,B800-49,,55720008,,,
55721374,SpgStd,B800-49,,,55719985,,
55714725,LRV223-hlb23011-Wdy-01,B800-5,,55713695,,,
55714087,LRV223-hlb23011-Wdy-01,B800-5,,,55713821,,
55721141,SpgStd,B800-5,,55719919,,,
55721135,SpgStd,B800-5,,,55721325,,
55722870,SpgSnd,B800-5,,55721796,,,
