deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55803745,16:44:00,16:44:00,8178,1,,
55803745,17:08:00,17:08:00,,2,,47800
55803746,18:58:00,18:58:00,323,1,,
55803746,19:18:00,19:18:00,,2,,47800
55803747,13:44:00,13:44:00,903,1,,
55803747,14:03:00,14:03:00,,2,,47800
55803748,19:28:00,19:28:00,900,1,,
55803748,19:47:00,19:47:00,899,2,,
55803749,14:09:00,14:09:00,899,1,,
55803749,14:16:00,14:16:00,11802,2,,
55803750,17:28:00,17:28:00,17861,1,,
55803750,17:41:00,17:41:00,,2,,47800
55803751,16:04:00,16:04:00,,1,,47800
55803751,16:27:00,16:27:00,175,2,,
55803752,11:39:00,11:39:00,899,1,,
55803752,11:55:00,11:55:00,,2,,47800
55803753,15:56:00,15:56:00,8178,1,,
55803753,16:20:00,16:20:00,,2,,47800
55803754,19:22:00,19:22:00,1026,1,,
55803754,19:46:00,19:46:00,,2,,47800
55803755,15:15:00,15:15:00,,1,,47800
55803755,15:30:00,15:30:00,903,2,,
55803756,13:44:00,13:44:00,17861,1,,
55803756,13:57:00,13:57:00,,2,,47800
55803757,06:18:00,06:18:00,,1,,47800
55803757,06:35:00,06:35:00,8178,2,,
55803758,10:30:00,10:30:00,6551,1,,
55803758,10:43:00,10:43:00,,2,,47800
55803759,15:59:00,15:59:00,903,1,,
55803759,16:19:00,16:19:00,,2,,47800
55803760,06:10:00,06:10:00,,1,,47800
55803760,06:20:00,06:20:00,210,2,,
55803761,05:58:00,05:58:00,,1,,47800
55803761,06:13:00,06:13:00,899,2,,
55803762,09:24:00,09:24:00,6551,1,,
55803762,09:37:00,09:37:00,,2,,47800
55803763,19:10:00,19:10:00,1026,1,,
55803763,19:34:00,19:34:00,,2,,47800
55803764,05:48:00,05:48:00,,1,,47800
55803764,06:05:00,06:05:00,8178,2,,
55803765,13:45:00,13:45:00,,1,,47800
55803765,14:00:00,14:00:00,17863,2,,
55803766,05:57:00,05:57:00,,1,,47800
55803766,06:30:00,06:30:00,88333,2,,
55803767,14:10:00,14:10:00,,1,,47800
55803767,14:25:00,14:25:00,11780,2,,
55803768,06:22:00,06:22:00,,1,,47800
55803768,06:42:00,06:42:00,913,2,,
55803769,13:35:00,13:35:00,,1,,47800
55803769,13:50:00,13:50:00,903,2,,
55803770,06:28:00,06:28:00,,1,,47800
55803770,06:44:00,06:44:00,900,2,,
55803771,14:05:00,14:05:00,,1,,47800
55803771,14:20:00,14:20:00,899,2,,
55803772,14:32:00,14:32:00,,1,,47800
55803772,14:40:00,14:40:00,29004,2,,
55803773,04:47:00,04:47:00,,1,,47800
55803773,05:02:00,05:02:00,900,2,,
55803774,09:15:00,09:15:00,899,1,,
55803774,09:31:00,09:31:00,,2,,47800
55803775,04:15:00,04:15:00,,1,,47800
55803775,04:30:00,04:30:00,900,2,,
55803776,08:09:00,08:09:00,6551,1,,
55803776,08:22:00,08:22:00,,2,,47800
55803777,04:38:00,04:38:00,,1,,47800
55803777,04:55:00,04:55:00,11366,2,,
55803778,13:40:00,13:40:00,,1,,47800
55803778,13:55:00,13:55:00,899,2,,
55803779,06:04:00,06:04:00,,1,,47800
55803779,06:20:00,06:20:00,900,2,,
55803780,09:19:00,09:19:00,6551,1,,
55803780,09:32:00,09:32:00,,2,,47800
55803781,06:05:00,06:05:00,,1,,47800
55803781,06:15:00,06:15:00,17863,2,,
55803782,08:34:00,08:34:00,17861,1,,
55803782,08:47:00,08:47:00,,2,,47800
