pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
cntsq-027,node-cntsq-prospectstair-farepaid,70070,,1,0,9.1440000,9.1440000,,,,,Paid side of fare gates to Red Line (Alewife),,Outbound,
cntsq-028,door-cntsq-western,node-cntsq-westernstair-platform,,2,0,,,,,-36,,Central - Western Ave to Bottom of stairs for Western Ave,,Inbound to Ashmont & Braintree via Park & Downtown Crossing,
cntsq-029,door-cntsq-ibmass,node-cntsq-ibstair-platform,,2,0,,,,,-40,,Central - Mass Ave to Bottom of stairs for Massachusetts Ave,,Inbound to Ashmont & Braintree via Park & Downtown Crossing,
cntsq-030,door-cntsq-ibmass,node-cntsq-861-platform,861,5,0,,,,56,,,Central - Mass Ave to Bottom of Elevator 861 for Massachusetts Ave,861.0000000,Elevator - Inbound,
cntsq-031,door-cntsq-pearl,node-cntsq-pearlstair-platform,,2,0,,,,,-31,,Central - Pearl St to Bottom of stairs for Pearl St,,Inbound to Ashmont & Braintree via Park & Downtown Crossing,
cntsq-032,door-cntsq-essex,node-cntsq-essexstair-platform,,2,0,,,,,-30,,Central - Essex St to Bottom of stairs for Essex St,,Outbound to Alewife,
cntsq-033,door-cntsq-obmass,node-cntsq-obstair-platform,,2,0,,,,,-33,,Central - Mass Ave to Bottom of stairs for Massachusetts Ave,,Outbound to Alewife,
cntsq-034,door-cntsq-obmass,node-cntsq-860-platform,860,5,0,,,,50,,,Central - Mass Ave to Bottom of Elevator 860 for Massachusetts Ave,860.0000000,Elevator - Outbound,
cntsq-035,door-cntsq-prospect,node-cntsq-prospectstair-platform,,2,0,,,,,-33,,Central - Prospect St to Bottom of stairs for Prospect St,,Outbound to Alewife,
cntsq-036,node-cntsq-essexstair-platform,node-cntsq-essexstair-fareunpaid,,1,0,6.0960000,6.0960000,,,,,Bottom of stairs for Essex St to Unpaid side of fare gates,,Red Line - Outbound,
cntsq-037,node-cntsq-obstair-platform,node-cntsq-obstair-fareunpaid,,1,0,15.8496000,15.8496000,,,,,Bottom of stairs for Massachusetts Ave to Unpaid side of fare gates,,Red Line - Outbound,
cntsq-038,node-cntsq-860-platform,node-cntsq-obstair-fareunpaid,,1,0,6.0960000,6.0960000,,,,,Bottom of Elevator 860 for Massachusetts Ave to Unpaid side of fare gates,,Red Line - Outbound,
cntsq-039,node-cntsq-360-platform,node-cntsq-obstair-fareunpaid,,1,0,7.6200000,7.6200000,,,,,Bottom of Escalator 360 for Massachusetts Ave to Unpaid side of fare gates,,Red Line - Outbound,
cntsq-040,node-cntsq-prospectstair-platform,node-cntsq-prospectstair-fareunpaid,,1,0,4.8768000,4.8768000,,,,,Bottom of stairs for Prospect St to Unpaid side of fare gates,,Red Line - Outbound,
