"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"364-1054","1","36",,,3,,"FFFF7C","000000"
"365-1054","1","36",,,3,,"FFFF7C","000000"
"366-1054","1","36",,,3,,"FFFF7C","000000"
"367-1054","1","36",,,3,,"FFFF7C","000000"
"368-1054","1","36",,,3,,"FFFF7C","000000"
"369-1054","1","36",,,3,,"FFFF7C","000000"
"37_-1054","1","37",,,3,,"FFFF7C","000000"
"373-1054","1","37",,,3,,"FFFF7C","000000"
"38_-1054","1","38",,,3,,"FFFF7C","000000"
"381-1054","1","38",,,3,,"FFFF7C","000000"
"382-1054","1","38",,,3,,"FFFF7C","000000"
"383-1054","1","38",,,3,,"FFFF7C","000000"
"387-1054","1","38",,,3,,"FFFF7C","000000"
"393-1054","1","39",,,3,,"FFFF7C","000000"
"397-1054","1","39",,,3,,"FFFF7C","000000"
"399-1054","1","39",,,3,,"FFFF7C","000000"
"40_-1054","1","40",,,3,,"FFFF7C","000000"
"405-1054","1","40",,,3,,"FFFF7C","000000"
"41_-1054","1","41",,,3,,"FFFF7C","000000"
"411-1054","1","41",,,3,,"FFFF7C","000000"
"4111-1054","1","411",,,3,,"FFFF7C","000000"
"4118-1054","1","411",,,3,,"FFFF7C","000000"
"42_-1054","1","42",,,3,,"FFFF7C","000000"
"421-1054","1","42",,,3,,"FFFF7C","000000"
"424_-1054","1","424",,,3,,"FFFF7C","000000"
"4246-1054","1","424W",,,3,,"FFFF7C","000000"
"426_-1054","1","426",,,3,,"FFFF7C","000000"
"4261-1054","1","426",,,3,,"FFFF7C","000000"
"4262-1054","1","426",,,3,,"FFFF7C","000000"
"4263-1054","1","426",,,3,,"FFFF7C","000000"
"4264-1054","1","426",,,3,,"FFFF7C","000000"
"4265-1054","1","426",,,3,,"FFFF7C","000000"
"4266-1054","1","426W",,,3,,"FFFF7C","000000"
"4267-1054","1","426W",,,3,,"FFFF7C","000000"
"4268-1054","1","426",,,3,,"FFFF7C","000000"
"4269-1054","1","426W",,,3,,"FFFF7C","000000"
"426A-1054","1","426W",,,3,,"FFFF7C","000000"
"428_-1054","1","428",,,3,,"FFFF7C","000000"
"429_-1054","1","429",,,3,,"FFFF7C","000000"
"4291-1054","1","429",,,3,,"FFFF7C","000000"
"4292-1054","1","429",,,3,,"FFFF7C","000000"
"4293-1054","1","429",,,3,,"FFFF7C","000000"
"4294-1054","1","429",,,3,,"FFFF7C","000000"
"43_-1054","1","43",,,3,,"FFFF7C","000000"
"4301-1054","1","430",,,3,,"FFFF7C","000000"
"4305-1054","1","430",,,3,,"FFFF7C","000000"
"4306-1054","1","430",,,3,,"FFFF7C","000000"
"4307-1054","1","430",,,3,,"FFFF7C","000000"
"431_-1054","1","431",,,3,,"FFFF7C","000000"
"434_-1054","1","434",,,3,,"FFFF7C","000000"
"435_-1054","1","435",,,3,,"FFFF7C","000000"
"4351-1054","1","435",,,3,,"FFFF7C","000000"
"4352-1054","1","435",,,3,,"FFFF7C","000000"
"4353-1054","1","435",,,3,,"FFFF7C","000000"
"4354-1054","1","435",,,3,,"FFFF7C","000000"
"4355-1054","1","435",,,3,,"FFFF7C","000000"
"436_-1054","1","436",,,3,,"FFFF7C","000000"
"4361-1054","1","436",,,3,,"FFFF7C","000000"
"4362-1054","1","436",,,3,,"FFFF7C","000000"
"4368-1054","1","436",,,3,,"FFFF7C","000000"
"4369-1054","1","436",,,3,,"FFFF7C","000000"
"439_-1054","1","439",,,3,,"FFFF7C","000000"
"4391-1054","1","439",,,3,,"FFFF7C","000000"
"4392-1054","1","439",,,3,,"FFFF7C","000000"
"4399-1054","1","439",,,3,,"FFFF7C","000000"
"441_-1054","1","441",,,3,,"FFFF7C","000000"
